,Age,Gender,Education Level,Job Title,Years of Experience,Salary
5057,21.0,Female,High School,Junior Sales Representative,0.0,25000.0
5137,22.0,Female,High School,Receptionist,0.0,25000.0
5000,22.0,Female,High School,Sales Associate,0.0,25000.0
2253,22.0,Male,Bachelor's Degree ,Front End Developer,1.0,50000.0
2673,22.0,Male,Bachelor's Degree ,Software Engineer,1.0,50000.0
2436,22.0,Female,High School,Back end Developer,0.0,51832.0
3893,22.0,Male,High School,Junior Sales Associate,1.0,25000.0
3390,22.0,Female,High School,Junior HR Generalist,0.0,40000.0
2796,23.0,Female,Bachelor's Degree ,Senior Project Engineer,0.0,52831.0
2729,23.0,Female,Bachelor's Degree ,Software Engineer,1.0,50000.0
2678,23.0,Male,Bachelor's Degree ,Software Developer,1.0,45000.0
6449,23.0,Male,Bachelor's Degree ,Sales Representative,1.0,35000.0
2654,23.0,Male,PhD,Software Engineer Manager,1.0,579.0
4523,23.0,Female,Bachelor's Degree ,Junior HR Generalist,1.0,32000.0
6470,23.0,Male,Bachelor's Degree ,Sales Manager,1.0,35000.0
2585,23.0,Male,PhD,Software Engineer Manager,0.0,52612.0
4575,23.0,Female,Bachelor's Degree ,Junior HR Coordinator,1.0,32000.0
2550,23.0,Female,Bachelor's Degree ,Senior Project Engineer,0.0,51831.0
2544,23.0,Female,High School,Back end Developer,2.0,62807.0
2608,23.0,Male,High School,Front end Developer,1.0,47898.0
2909,23.0,Female,High School,Back end Developer,1.0,52807.0
4149,23.0,Male,High School,Junior Sales Associate,1.0,26000.0
2881,23.0,Male,PhD,Software Engineer Manager,0.0,52779.0
6484,23.0,Male,Bachelor's Degree ,Sales Executive,1.0,35000.0
5345,23.0,Female,High School,Receptionist,0.0,25000.0
5208,23.0,Male,Bachelor's Degree ,Software Engineer,1.0,60000.0
1534,23.0,Male,Bachelor's Degree ,Front end Developer,1.0,55000.0
1422,23.0,Female,Bachelor's Degree ,Front end Developer,1.0,55000.0
1263,23.0,Male,Bachelor's Degree ,Back end Developer,1.0,55000.0
1239,23.0,Male,Bachelor's Degree ,Full Stack Engineer,1.0,55000.0
518,23.0,Male,Bachelor's Degree ,Data Analyst,1.0,95000.0
688,23.0,Male,Bachelor's Degree ,Data Analyst,1.0,92000.0
676,23.0,Male,Bachelor's Degree ,Data Analyst,1.0,90000.0
1310,23.0,Female,Bachelor's Degree ,Back end Developer,1.0,55000.0
6263,23.0,Female,High School,Sales Executive,1.0,35000.0
2494,23.0,Male,PhD,Software Engineer Manager,1.0,119836.0
2454,23.0,Other,High School,Front end Developer,2.0,62852.0
114,23.0,Female,Bachelor's Degree ,Junior Marketing Analyst,0.5,35000.0
6340,23.0,Female,Bachelor's Degree ,Sales Executive,1.0,35000.0
6310,23.0,Male,High School,Sales Executive,1.0,35000.0
3425,23.0,Female,Bachelor's Degree ,Junior Web Developer,1.0,40000.0
3768,23.0,Male,High School,Junior Sales Associate,1.0,30000.0
4018,23.0,Male,High School,Junior Sales Associate,1.0,25000.0
5905,24.0,Male,High School,Delivery Driver,0.0,28000.0
6664,24.0,Male,Bachelor's Degree ,Sales Executive,1.0,35000.0
3521,24.0,Female,High School,Junior HR Generalist,1.0,32000.0
5217,24.0,Female,High School,Sales Associate,0.0,25000.0
5933,24.0,Female,High School,Receptionist,0.0,25000.0
27,24.0,Male,Bachelor's Degree ,Junior Developer,1.0,40000.0
971,24.0,Male,Bachelor's Degree ,Data Analyst,2.0,95000.0
3344,24.0,Female,Bachelor's Degree ,Software Developer,2.0,55000.0
2961,24.0,Male,Bachelor's Degree ,Back end Developer,2.0,64182.0
5092,24.0,Female,High School,Sales Associate,1.0,30000.0
3601,24.0,Female,Bachelor's Degree ,Web Developer,1.0,40000.0
6283,24.0,Female,High School,Sales Associate,1.0,35000.0
526,24.0,Male,Bachelor's Degree ,Data Analyst,1.0,90000.0
5764,24.0,Female,Bachelor's Degree ,Marketing Analyst,0.0,40000.0
6650,24.0,Male,Bachelor's Degree ,Sales Representative,1.0,35000.0
961,24.0,Male,Bachelor's Degree ,Data Analyst,2.0,100000.0
3563,24.0,Female,Bachelor's Degree ,Junior Web Developer,1.0,40000.0
4024,24.0,Male,High School,Junior Sales Associate,1.0,25000.0
