,Age,Gender,Education Level,Job Title,Years of Experience,Salary,Age Group
0,32.0,Male,Bachelor's Degree,Software Engineer,5.0,90000.0,30-39
1,28.0,Female,Master's Degree,Data Analyst,3.0,65000.0,20-29
2,45.0,Male,PhD,Senior Manager,15.0,150000.0,40-49
3,36.0,Female,Bachelor's Degree,Sales Associate,7.0,60000.0,30-39
4,52.0,Male,Master's Degree,Director,20.0,200000.0,50-59
5,29.0,Male,Bachelor's Degree,Marketing Analyst,2.0,55000.0,20-29
6,42.0,Female,Master's Degree,Product Manager,12.0,120000.0,40-49
7,31.0,Male,Bachelor's Degree,Sales Manager,4.0,80000.0,30-39
8,26.0,Female,Bachelor's Degree,Marketing Coordinator,1.0,45000.0,20-29
9,38.0,Male,PhD,Senior Scientist,10.0,110000.0,30-39
10,29.0,Male,Master's Degree,Software Developer,3.0,75000.0,20-29
11,48.0,Female,Bachelor's Degree,HR Manager,18.0,140000.0,40-49
12,35.0,Male,Bachelor's Degree,Financial Analyst,6.0,65000.0,30-39
13,40.0,Female,Master's Degree,Project Manager,14.0,130000.0,40-49
14,27.0,Male,Bachelor's Degree,Customer Service Rep,2.0,40000.0,20-29
15,44.0,Male,Bachelor's Degree,Operations Manager,16.0,125000.0,40-49
16,33.0,Female,Master's Degree,Marketing Manager,7.0,90000.0,30-39
17,39.0,Male,PhD,Senior Engineer,12.0,115000.0,30-39
18,25.0,Female,Bachelor's Degree,Data Entry Clerk,0.0,35000.0,20-29
19,51.0,Male,Bachelor's Degree,Sales Director,22.0,180000.0,50-59
20,34.0,Female,Master's Degree,Business Analyst,5.0,80000.0,30-39
21,47.0,Male,Master's Degree,VP of Operations,19.0,190000.0,40-49
22,30.0,Male,Bachelor's Degree,IT Support,2.0,50000.0,30-39
23,36.0,Female,Bachelor's Degree,Recruiter,9.0,60000.0,30-39
24,41.0,Male,Master's Degree,Financial Manager,13.0,140000.0,40-49
25,28.0,Female,Bachelor's Degree,Social Media Specialist,3.0,45000.0,20-29
26,37.0,Female,Master's Degree,Software Manager,11.0,110000.0,30-39
27,24.0,Male,Bachelor's Degree,Junior Developer,1.0,40000.0,20-29
28,43.0,Female,PhD,Senior Consultant,15.0,140000.0,40-49
